Speaker,Code,CEFR
CHN,001,B1,2
CHN,002,B1,1
CHN,003,B2,0
CHN,004,B1,2
CHN,005,B1,2
CHN,006,B2,0
CHN,007,A2,0
CHN,008,B2,0
CHN,009,B2,0
CHN,010,B1,2
CHN,011,B1,1
CHN,012,B2,0
CHN,013,B1,2
CHN,014,B1,2
CHN,015,B1,1
CHN,016,B2,0
CHN,017,B2,0
CHN,018,B1,1
CHN,019,B2,0
CHN,020,B1,2
CHN,021,B1,2
CHN,022,B2,0
CHN,023,B1,2
CHN,024,B2,0
CHN,025,B2,0
CHN,026,B1,2
CHN,027,B1,1
CHN,028,B1,2
CHN,029,B1,1
CHN,030,B1,2
CHN,031,B1,2
CHN,032,B2,0
CHN,033,B2,0
CHN,034,A2,0
CHN,035,B2,0
CHN,036,B1,1
CHN,037,B1,2
CHN,038,B2,0
CHN,039,B1,1
CHN,040,B1,2
CHN,041,B1,2
CHN,042,B1,2
CHN,043,B1,1
CHN,044,A2,0
CHN,045,B2,0
CHN,046,B2,0
CHN,047,B1,1
CHN,048,B2,0
CHN,049,B1,1
CHN,050,B2,0
ENS,001,N/A
ENS,002,N/A
ENS,003,N/A
ENS,004,N/A
ENS,005,N/A
ENS,006,N/A
ENS,007,N/A
ENS,008,N/A
ENS,009,N/A
ENS,010,N/A
ENS,011,N/A
ENS,012,N/A
ENS,013,N/A
ENS,014,N/A
ENS,015,N/A
ENS,016,N/A
ENS,017,N/A
ENS,018,N/A
ENS,019,N/A
ENS,020,N/A
HKG,001,B1,1
HKG,002,B1,1
HKG,003,B2,0
HKG,004,B1,2
HKG,005,B2,0
HKG,006,B1,1
HKG,007,B1,1
HKG,008,B1,2
HKG,009,B1,1
HKG,010,B1,2
HKG,011,B2,0
HKG,012,B2,0
HKG,013,B1,1
HKG,014,B1,1
HKG,015,B1,2
HKG,016,B1,2
HKG,017,B1,1
HKG,018,B2,0
HKG,019,B2,0
HKG,020,B1,1
HKG,021,B2,0
HKG,022,B1,2
HKG,023,B1,2
HKG,024,B2,0
HKG,025,B2,0
HKG,026,B1,2
HKG,027,B2,0
HKG,028,B1,2
HKG,029,B1,1
HKG,030,B2,0
IDN,001,B1,1
IDN,002,B1,1
IDN,003,B1,2
IDN,004,B1,1
IDN,005,B1,2
IDN,006,B1,2
IDN,007,A2,0
IDN,008,A2,0
IDN,009,B1,1
IDN,010,B1,2
IDN,011,B1,2
IDN,012,B1,2
IDN,013,B1,2
IDN,014,B1,2
IDN,015,B2,0
IDN,016,B1,2
IDN,017,A2,0
IDN,018,A2,0
IDN,019,B1,1
IDN,020,B1,2
IDN,021,B1,2
IDN,022,B1,2
IDN,023,B1,2
IDN,024,B1,2
IDN,025,B1,2
IDN,026,A2,0
IDN,027,B1,2
IDN,028,B1,1
IDN,029,A2,0
IDN,030,B2,0
JPN,001,B1,1
JPN,002,B2,0
JPN,003,B2,0
JPN,004,B1,1
JPN,005,B2,0
JPN,006,B1,2
JPN,007,B1,1
JPN,008,A2,0
JPN,009,B2,0
JPN,010,B1,2
JPN,011,B1,1
JPN,012,A2,0
JPN,013,B1,1
JPN,014,B1,1
JPN,015,A2,0
JPN,016,B1,2
JPN,017,B1,2
JPN,018,B2,0
JPN,019,B1,2
JPN,020,B1,1
JPN,021,A2,0
JPN,022,A2,0
JPN,023,A2,0
JPN,024,B1,1
JPN,025,B1,1
JPN,026,B1,2
JPN,027,B1,2
JPN,028,B1,2
JPN,029,A2,0
JPN,030,A2,0
JPN,031,A2,0
JPN,032,A2,0
JPN,033,B1,1
JPN,034,B2,0
JPN,035,A2,0
JPN,036,B2,0
JPN,037,B1,2
JPN,038,A2,0
JPN,039,B1,1
JPN,040,A2,0
JPN,041,A2,0
JPN,042,A2,0
JPN,043,B1,1
JPN,044,A2,0
JPN,045,A2,0
JPN,046,B2,0
JPN,047,A2,0
JPN,048,A2,0
JPN,049,B1,2
JPN,050,B1,1
JPN,051,B1,1
JPN,052,B1,1
JPN,053,A2,0
JPN,054,B1,1
JPN,055,A2,0
JPN,056,B1,2
JPN,057,A2,0
JPN,058,B1,2
JPN,059,B1,2
JPN,060,B1,1
JPN,061,B1,1
JPN,062,B1,2
JPN,063,B1,1
JPN,064,A2,0
JPN,065,A2,0
JPN,066,B2,0
JPN,067,B1,2
JPN,068,B1,2
JPN,069,A2,0
JPN,070,B1,2
JPN,071,B1,1
JPN,072,B1,2
JPN,073,B1,2
JPN,074,B1,1
JPN,075,B1,1
JPN,076,B2,0
JPN,077,B1,2
JPN,078,B1,2
JPN,079,B1,1
JPN,080,B1,1
JPN,081,B1,2
JPN,082,B1,2
JPN,083,B2,0
JPN,084,B1,1
JPN,085,B1,2
JPN,086,A2,0
JPN,087,B2,0
JPN,088,B1,1
JPN,089,B1,2
JPN,090,B1,2
JPN,091,A2,0
JPN,092,A2,0
JPN,093,A2,0
JPN,094,A2,0
JPN,095,B1,2
JPN,096,A2,0
JPN,097,B1,2
JPN,098,B1,1
JPN,099,B1,1
JPN,100,B1,1
KOR,001,B1,1
KOR,002,B2,0
KOR,003,B1,2
KOR,004,B2,0
KOR,005,B2,0
KOR,006,B2,0
KOR,007,B1,2
KOR,008,B2,0
KOR,009,B1,2
KOR,010,B1,2
KOR,011,B2,0
KOR,012,B1,1
KOR,013,B2,0
KOR,014,B2,0
KOR,015,B2,0
KOR,016,B1,2
KOR,017,B1,1
KOR,018,B2,0
KOR,019,B1,2
KOR,020,B1,2
MYS,001,B1,2
MYS,002,B1,1
MYS,003,B1,2
MYS,004,B1,2
MYS,005,B1,2
MYS,006,B1,1
MYS,007,B1,2
MYS,008,B1,2
MYS,009,B1,2
MYS,010,B1,2
MYS,011,B1,1
MYS,012,B1,2
MYS,013,B1,2
MYS,014,B1,2
MYS,015,B1,2
MYS,016,B1,2
MYS,017,A2,0
MYS,018,B1,1
MYS,019,A2,0
MYS,020,B1,2
PAK,001,A2,0
PAK,002,A2,0
PAK,003,B1,1
PAK,004,B1,2
PAK,005,A2,0
PAK,006,B1,2
PAK,007,B1,2
PAK,008,B1,2
PAK,009,B1,1
PAK,010,B1,2
PAK,011,B1,2
PAK,012,A2,0
PAK,013,B2,0
PAK,014,B1,1
PAK,015,B1,1
PAK,016,B1,2
PAK,017,B1,2
PAK,018,B1,2
PAK,019,B1,2
PAK,020,B1,2
PAK,021,B1,2
PAK,022,A2,0
PAK,023,B1,1
PAK,024,B1,2
PAK,025,B1,1
PHL,001,B1,2
PHL,002,B2,0
PHL,003,B1,2
PHL,004,B1,2
PHL,005,B1,2
PHL,006,B1,2
PHL,007,B1,2
PHL,008,B2,0
PHL,009,B1,2
PHL,010,B1,2
PHL,011,B2,0
PHL,012,B1,2
PHL,013,B1,2
PHL,014,B1,2
PHL,015,B1,2
PHL,016,B1,2
PHL,017,B1,2
PHL,018,B1,2
PHL,019,B2,0
PHL,020,B1,2
PHL,021,B1,2
PHL,022,B1,2
PHL,023,B1,2
PHL,024,B1,2
PHL,025,B1,2
PHL,026,B1,2
PHL,027,B1,2
PHL,028,B1,2
PHL,029,B1,2
PHL,030,B1,2
PHL,031,B1,2
PHL,032,A2,0
PHL,033,B1,2
PHL,034,B1,2
PHL,035,B1,2
PHL,036,B1,1
PHL,037,B1,2
PHL,038,B1,2
PHL,039,B1,2
PHL,040,B1,2
THA,001,B1,1
THA,002,B1,2
THA,003,B1,2
THA,004,B1,2
THA,005,A2,0
THA,006,B1,1
THA,007,A2,0
THA,008,A2,0
THA,009,A2,0
THA,010,B1,1
THA,011,B1,1
THA,012,B1,1
THA,013,B1,1
THA,014,B1,2
THA,015,B1,2
THA,016,A2,0
THA,017,B1,1
THA,018,B1,1
THA,019,B1,2
THA,020,B1,2
THA,021,B1,2
THA,022,B1,1
THA,023,A2,0
THA,024,B1,2
THA,025,B1,1
THA,026,B1,2
THA,027,B1,2
THA,028,B1,2
THA,029,B1,2
THA,030,B1,2
THA,031,B1,2
THA,032,B1,2
THA,033,B1,1
THA,034,B1,2
THA,035,B1,2
THA,036,B2,0
THA,037,B2,0
THA,038,B1,2
THA,039,B1,1
THA,040,A2,0
TWN,001,B2,0
TWN,002,B2,0
TWN,003,B1,2
TWN,004,B2,0
TWN,005,B1,2
TWN,006,B2,0
TWN,007,B1,2
TWN,008,B1,2
TWN,009,B2,0
TWN,010,B1,2
TWN,011,B2,0
TWN,012,B1,2
TWN,013,B2,0
TWN,014,B1,2
TWN,015,B1,1
TWN,016,B1,1
TWN,017,B2,0
TWN,018,B2,0
TWN,019,B1,1
TWN,020,B1,1
TWN,021,B1,2
TWN,022,B2,0
TWN,023,B1,1
TWN,024,B1,2
TWN,025,A2,0
TWN,026,B2,0
TWN,027,A2,0
TWN,028,A2,0
TWN,029,B1,2
TWN,030,A2,0
TWN,031,B1,2
TWN,032,A2,0
TWN,033,A2,0
TWN,034,B1,2
TWN,035,B1,1
TWN,036,A2,0
TWN,037,B1,1
TWN,038,A2,0
TWN,039,B1,2
TWN,040,B2,0
TWN,041,B1,2
TWN,042,B1,2
TWN,043,B2,0
TWN,044,A2,0
TWN,045,B2,0
TWN,046,B2,0
TWN,047,A2,0
TWN,048,A2,0
TWN,049,B2,0
TWN,050,B1,2
